板块代码,板块名称,板块指数,涨跌幅(%),今开,昨收,最高,最低,成交量,成交额,总市值,上涨家数,下跌家数,平盘家数,板块类型,资金净流入(亿)
881121,半导体,15914.272,-1.77,15891.393,16068.021,16201.097,15509.246,1876201000.000,957782370.000,144795680000.000,35,186,150,行业板块,
881273,白酒,2004.444,0.79,1991.137,2011.840,1988.749,1989.677,88844720.000,41353721.000,4558627100.000,15,19,4,行业板块,
881131,白色家电,7809.569,0.60,7711.952,7837.575,7762.680,7710.128,335266000.000,171753090.000,6592274400.000,29,44,14,行业板块,
881156,保险,2006.913,0.08,2006.393,2018.341,2005.407,1991.939,146331540.000,72472307.000,5046776500.000,2,5,3,行业板块,
881138,包装印刷,4271.241,1.27,4192.712,4271.241,4217.735,4189.530,267184570.000,119399330.000,2936746500.000,40,46,6,行业板块,
881174,厨卫电器,5782.321,0.67,5664.779,5790.705,5743.799,5656.903,70021165.000,32409118.000,663670690.000,4,9,4,行业板块,
881281,电池,17738.843,-1.68,17908.307,17910.620,18042.560,17580.179,1108617420.000,603901960.000,33967293000.000,23,106,82,行业板块,
881277,电机,3191.206,0.17,3175.046,3206.464,3185.683,3153.069,259399820.000,147218010.000,3498209600.000,15,26,11,行业板块,
881145,电力,1887.546,0.31,1874.454,1891.951,1881.745,1870.789,2571945500.000,1233752600.000,18739690000.000,74,110,31,行业板块,
881278,电网设备,6311.140,0.27,6253.290,6328.403,6294.131,6212.353,1272754320.000,625770720.000,17657542000.000,83,140,51,行业板块,
881283,多元金融,1078.744,1.86,1056.538,1080.013,1059.081,1056.538,759801010.000,319939130.000,6037178800.000,23,26,3,行业板块,
881172,电子化学品,85076.323,-2.02,85180.703,86044.683,86834.694,82933.959,516742530.000,271576010.000,22573943000.000,4,43,39,行业板块,
881153,房地产,1669.984,1.83,1632.959,1670.918,1639.947,1632.471,2127267000.000,852515180.000,8313623700.000,74,88,12,行业板块,
881280,风电设备,4059.073,0.85,4015.811,4073.015,4025.056,3991.438,253212550.000,116245280.000,3953351100.000,19,31,12,行业板块,
881167,非金属材料,29727.310,-1.04,29662.868,29884.616,30039.464,29459.166,77774791.000,41391022.000,3252828900.000,6,16,10,行业板块,
881136,服装家纺,2863.227,0.49,2842.387,2864.129,2849.313,2838.239,791562130.000,414000020.000,6000304300.000,52,75,23,行业板块,
881135,纺织制造,2276.842,1.21,2240.195,2277.373,2249.576,2239.360,151593150.000,69304390.000,1430861800.000,26,33,7,行业板块,
881268,工程机械,3008.934,0.72,2995.784,3021.037,2987.318,2988.614,220374180.000,106947744.000,3183988300.000,25,36,11,行业板块,
881279,光伏设备,7238.793,-0.22,7194.830,7254.788,7254.409,7106.431,937791350.000,493104880.000,13670614000.000,35,72,32,行业板块,
881169,贵金属,6028.863,-5.54,6372.946,6372.946,6382.229,5985.272,1183909930.000,643101010.000,31789482000.000,0,14,13,行业板块,
881269,轨交设备,996.509,1.06,984.231,996.767,986.027,979.697,226882600.000,102703277.000,1752332400.000,24,30,6,行业板块,
881148,港口航运,1251.585,0.26,1249.357,1254.905,1248.288,1244.729,860874660.000,420292950.000,7654196400.000,19,36,15,行业板块,
881149,公路铁路运输,1301.588,1.06,1281.743,1302.104,1287.998,1281.743,457558870.000,179260100.000,2407298500.000,27,32,4,行业板块,
881112,钢铁,1516.016,0.50,1502.467,1519.480,1508.427,1502.467,1174667450.000,543040270.000,4764733600.000,28,43,13,行业板块,
881122,光学光电子,5257.416,0.02,5194.959,5267.687,5256.599,5135.150,2029830100.000,1016537250.000,22382065000.000,55,107,51,行业板块,
881168,工业金属,4340.658,-1.87,4407.192,4413.133,4423.326,4309.019,2319992000.000,1317747920.000,27290963000.000,10,55,44,行业板块,
881284,环保设备,1390.685,-0.10,1386.612,1397.989,1392.040,1371.333,137325680.000,68426163.000,2194718600.000,18,30,12,行业板块,
881181,环境治理,4068.834,0.71,4026.165,4073.592,4040.231,4022.688,861849400.000,403477080.000,7876972800.000,80,111,30,行业板块,
881177,互联网电商,8566.352,1.68,8367.363,8569.811,8424.710,8350.835,243940540.000,103193580.000,3763142100.000,16,20,2,行业板块,
881132,黑色家电,3961.713,1.34,3886.849,3967.188,3909.483,3879.845,83942026.000,39885118.000,868788040.000,8,9,1,行业板块,
881264,化学纤维,3666.760,0.49,3629.382,3693.045,3648.767,3628.206,405370380.000,192958450.000,4150709500.000,20,29,9,行业板块,
881108,化学原料,3231.115,0.62,3197.465,3253.167,3211.140,3197.465,1105456490.000,560195820.000,12072821800.000,41,59,16,行业板块,
881109,化学制品,7048.364,0.18,6993.061,7073.960,7036.012,6972.083,1300569580.000,674745950.000,22571927000.000,106,181,73,行业板块,
881140,化学制药,6298.692,1.39,6177.764,6308.805,6212.350,6133.181,2609869400.000,1268983340.000,30375378000.000,120,158,36,行业板块,
881271,IT服务,11498.235,1.16,11297.870,11509.344,11365.884,11266.199,1136166280.000,519026170.000,18142313000.000,104,129,21,行业板块,
881151,机场航运,1750.614,0.67,1736.857,1754.984,1738.915,1736.853,349450300.000,168729440.000,1383766700.000,11,13,1,行业板块,
881276,军工电子,11175.188,0.09,11056.175,11225.630,11165.437,10949.258,332635450.000,165127670.000,7128577200.000,37,62,25,行业板块,
881166,军工装备,2026.003,0.54,2003.549,2035.389,2015.028,1993.724,546191130.000,273900700.000,13803284000.000,53,82,27,行业板块,
881139,家居用品,3921.373,1.16,3858.669,3923.138,3876.396,3855.394,400224100.000,191316670.000,4676705000.000,77,99,21,行业板块,
881130,计算机设备,3897.399,0.97,3829.824,3897.928,3860.121,3813.028,545301910.000,251804630.000,12645361400.000,59,83,24,行业板块,
881114,金属新材料,13588.350,-0.07,13509.642,13658.822,13597.547,13414.869,224641660.000,119961376.000,4596219100.000,14,34,18,行业板块,
881178,教育,4049.585,1.43,3974.248,4049.585,3992.388,3932.588,243151420.000,104049220.000,1923328500.000,12,15,3,行业板块,
881115,建筑材料,5487.941,0.83,5403.520,5487.941,5442.850,5400.663,640689180.000,308569330.000,10754612900.000,52,73,21,行业板块,
881116,建筑装饰,4059.985,1.31,3988.785,4060.132,4007.648,3982.027,1878226400.000,841244030.000,14145671000.000,106,143,35,行业板块,
881158,零售,1835.190,2.15,1790.331,1838.619,1796.589,1790.331,1437771700.000,576859540.000,8450492500.000,64,71,6,行业板块,
881160,旅游及酒店,2796.588,2.76,2728.594,2815.937,2721.366,2728.594,441714280.000,218621390.000,3690267600.000,32,35,2,行业板块,
881182,美容护理,4700.439,3.05,4578.159,4701.839,4561.381,4574.783,161323140.000,70068762.000,3383331800.000,30,34,4,行业板块,
881105,煤炭开采加工,3051.650,0.20,3037.451,3103.710,3045.612,3037.451,1575202300.000,808767010.000,11614369500.000,17,34,17,行业板块,
881159,贸易,2523.856,1.08,2485.663,2530.309,2496.776,2484.162,126775784.000,55361295.000,811677750.000,11,14,3,行业板块,
881103,农产品加工,3658.044,1.90,3573.198,3663.608,3589.748,3573.198,788118070.000,407520350.000,6592123500.000,40,43,3,行业板块,
881263,农化制品,4803.322,0.98,4737.233,4851.512,4756.677,4737.233,1025410970.000,533199710.000,11018352200.000,41,61,18,行业板块,
881267,能源金属,31489.581,-3.25,32105.843,32305.967,32548.163,31231.332,279493470.000,157560170.000,11143216500.000,2,13,11,行业板块,
881128,汽车服务及其他,1099.729,1.37,1076.487,1100.550,1084.814,1076.487,194473110.000,81390081.000,1892058400.000,19,26,6,行业板块,
881126,汽车零部件,5654.613,0.90,5572.645,5655.048,5603.918,5556.772,1470646600.000,683889070.000,23633548000.000,201,273,72,行业板块,
881125,汽车整车,2487.911,1.06,2459.644,2487.911,2461.738,2456.423,422069320.000,187837050.000,4226242900.000,19,23,3,行业板块,
881282,其他电源设备,6055.201,0.01,5993.898,6085.956,6054.597,5916.960,226175820.000,109293191.000,6492399500.000,21,35,14,行业板块,
881123,其他电子,19910.080,-1.03,19809.134,20040.186,20117.105,19430.207,358589700.000,183049490.000,9430433300.000,12,34,22,行业板块,
881179,其他社会服务,18783.032,0.78,18545.552,18783.032,18637.398,18507.712,215023760.000,91681334.000,2333280600.000,30,42,12,行业板块,
881272,软件开发,1833.705,1.40,1798.520,1834.053,1808.457,1793.212,932372430.000,420713220.000,16968130000.000,108,138,28,行业板块,
881146,燃气,1848.708,1.31,1822.038,1854.006,1824.864,1821.405,259505140.000,116258810.000,2272679100.000,24,27,3,行业板块,
881265,塑料制品,10495.249,0.06,10416.349,10536.175,10488.951,10279.712,729519310.000,360458740.000,12336081300.000,43,77,32,行业板块,
881134,食品加工制造,4701.351,1.58,4612.308,4701.852,4628.134,4612.308,661606300.000,307750850.000,6486245400.000,57,66,9,行业板块,
881142,生物制品,6287.701,1.35,6168.219,6309.178,6203.787,6118.644,616335500.000,317309670.000,12977766400.000,39,55,13,行业板块,
881180,石油加工贸易,3546.922,0.38,3517.404,3568.141,3533.600,3504.433,599411410.000,263901240.000,4192422600.000,19,27,7,行业板块,
881162,通信服务,2617.518,0.96,2569.083,2622.776,2592.549,2558.874,602600550.000,280154620.000,7876818000.000,31,44,12,行业板块,
881129,通信设备,9158.830,0.32,8996.658,9214.653,9129.372,8941.883,1581684000.000,787146660.000,95005469000.000,54,91,36,行业板块,
881117,通用设备,8909.612,0.72,8786.029,8942.727,8846.296,8728.744,1670950200.000,815088630.000,32289977000.000,171,253,77,行业板块,
881164,文化传媒,2521.827,1.39,2477.695,2522.847,2487.182,2474.942,943498540.000,424298400.000,8583788200.000,74,84,8,行业板块,
881152,物流,5097.197,1.30,5008.469,5104.032,5031.649,5008.469,318166510.000,140204640.000,2571849900.000,41,50,7,行业板块,
881124,消费电子,12085.606,1.23,11820.823,12088.139,11939.056,11726.997,1017826880.000,488007990.000,31337578000.000,66,96,28,行业板块,
881173,小家电,4048.177,2.73,3943.993,4048.177,3940.661,3943.860,118017426.000,54044594.000,3912990000.000,22,26,4,行业板块,
881170,小金属,8836.983,-2.41,8951.037,9001.887,9055.422,8756.389,625854270.000,351586440.000,23091870000.000,5,29,24,行业板块,
881266,橡胶制品,13138.114,0.16,13046.690,13175.641,13117.386,12966.617,84644259.000,43593176.000,1445848000.000,14,22,8,行业板块,
881270,元件,22926.436,-0.31,22657.545,23109.094,22997.121,22364.167,810985980.000,413565850.000,46017976000.000,23,63,40,行业板块,
881175,医疗服务,20239.673,1.52,19831.853,20287.713,19937.296,19661.830,998703570.000,491078440.000,25558940000.000,43,56,13,行业板块,
881144,医疗器械,10848.811,0.98,10718.060,10865.648,10743.076,10657.848,533164410.000,260444690.000,12696255600.000,109,140,30,行业板块,
881133,饮料制造,4887.480,1.69,4791.250,4903.056,4806.329,4791.250,462303320.000,237542620.000,5779223300.000,38,47,6,行业板块,
881107,油气开采及服务,1728.041,1.17,1698.534,1741.230,1708.085,1697.135,487815290.000,226317250.000,4542262800.000,13,19,6,行业板块,
881274,影视院线,1239.313,2.05,1211.920,1241.307,1214.407,1211.425,358231390.000,150482090.000,2115554500.000,19,20,1,行业板块,
881275,游戏,8896.282,1.23,8752.877,8902.079,8788.180,8736.177,350573220.000,157918410.000,5130489100.000,22,24,1,行业板块,
