ETF代码,ETF名称,最新价,涨跌幅(%),涨跌额,成交量,成交额,IOPV实时估值,基金折价率,总市值,流通市值,最新份额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,主力净流入-净额,主力净流入-净占比
159137,港股通医疗ETF华宝,0.996,3.11,0.03,1628045.0,160946659.383,0.9958,-0.02,157002077,157002077,157632607.0,0.966,0.997,0.966,0.966,3.21,103.28,3.81,551120.0,0.34
159366,港股医疗ETF永赢,1.492,2.61,0.038,1693717.0,250689392.3,1.4854,-0.44,394384943,394384943,264333072.0,1.465,1.495,1.442,1.454,3.65,64.08,1.66,10084452.0,4.02
159509,纳指科技ETF景顺,2.792,2.57,0.07,1225049.0,336187819.32,2.2032,-26.72,18487407135,18487407135,6621564160.0,2.725,2.809,2.724,2.722,3.12,1.85,1.11,20301770.0,6.04
520850,港股通医疗ETF易方达,0.923,2.56,0.023,524412.0,48048069.0,0.9236,0.06,132219381,132219381,143249600.0,0.898,0.924,0.898,0.9,2.89,36.61,1.63,513134.0,1.07
513620,港股医疗ETF银华,1.126,2.55,0.028,356172.0,39765187.0,1.1282,0.2,66677216,66677216,59216000.0,1.098,1.128,1.097,1.098,2.82,60.15,2.46,-162566.0,-0.41
520510,港股通医疗ETF华夏,0.97,2.54,0.024,3525645.0,340075356.0,0.9728,0.29,242236160,242236160,249728000.0,0.946,0.974,0.946,0.946,2.96,141.18,2.02,-2410356.0,-0.71
526010,港股通医疗ETF汇添富,1.061,2.51,0.026,118061.0,12439724.0,1.0648,0.36,49291938,49291938,46458000.0,1.028,1.062,1.028,1.035,3.29,25.41,1.66,-3181.0,-0.03
159167,港股通医疗ETF工银,0.981,2.4,0.023,495763.0,48239724.161,0.9847,0.38,184966730,184966730,188549164.0,0.958,0.983,0.956,0.958,2.82,26.29,1.58,150424.0,0.31
158003,港股通医疗ETF嘉实,1.028,2.39,0.024,68720.0,6993195.809,1.0333,0.51,174404719,174404719,169654396.0,1.003,1.029,1.003,1.004,2.59,4.05,0.15,210299.0,3.01
159038,粮食ETF易方达,0.934,2.3,0.021,233331.0,21876126.91,0.9303,-0.4,194297161,194297161,208026939.0,0.904,0.949,0.903,0.913,5.04,11.22,0.87,-971517.0,-4.44
159698,粮食ETF鹏华,0.925,2.21,0.02,1397837.0,129537259.4,0.9231,-0.21,1336111055,1336111055,1444444384.0,0.895,0.941,0.895,0.905,5.08,9.68,1.2,-6347752.0,-4.9
513780,港股创新药ETF景顺,1.705,2.16,0.036,3784760.0,640329596.0,1.7068,0.11,3084612699,3084612699,1809157008.0,1.669,1.708,1.661,1.669,2.82,20.92,1.58,26136280.0,4.08
159828,医疗ETF国泰,0.43,2.14,0.009,1064555.0,45260829.432,0.4298,-0.05,1992808952,1992808952,4634439424.0,0.421,0.43,0.42,0.421,2.38,2.3,1.13,-694962.0,-1.54
159508,生物医药ETF华安,0.822,2.11,0.017,98014.0,7942739.2,0.8224,0.05,79759974,79759974,97031598.0,0.8,0.823,0.797,0.805,3.23,10.1,0.98,517286.0,6.51
159030,粮食ETF华夏,0.87,2.11,0.018,302349.0,26402842.684,0.868,-0.23,308822313,308822313,354968176.0,0.845,0.886,0.844,0.852,4.93,8.52,1.13,-4097266.0,-15.52
159192,家电ETF汇添富,0.96,2.02,0.019,2538.0,241888.5,0.9595,-0.05,16307582,16307582,16987065.0,0.932,0.96,0.931,0.941,3.08,1.49,0.84,-6712.0,-2.77
159529,标普消费ETF景顺,1.322,2.01,0.026,1794229.0,237420771.7,1.2928,-2.26,1072851628,1072851628,811536784.0,1.305,1.336,1.303,1.296,2.55,22.11,12.09,8575827.0,3.61
159072,粮食ETF景顺,1.116,2.01,0.022,119653.0,13470677.602,1.114,-0.18,44958235,44958235,40285157.0,1.089,1.149,1.084,1.094,5.94,29.7,1.02,-1584586.0,-11.76
516620,影视ETF国泰,0.812,2.01,0.016,165575.0,13375757.0,0.8121,0.01,156527210,156527210,192767500.0,0.795,0.813,0.793,0.796,2.51,8.59,1.37,707461.0,5.29
159073,粮食ETF汇添富,1.025,1.99,0.02,258888.0,26650982.779,1.0283,0.32,178528211,178528211,174173864.0,1.003,1.039,1.003,1.005,3.58,14.86,0.66,4268472.0,16.02
159033,粮食ETF国泰,0.985,1.97,0.019,184047.0,18196967.795,0.9844,-0.06,129353621,129353621,131323473.0,0.957,1.003,0.955,0.966,4.97,14.01,0.8,2727246.0,14.99
159587,粮食ETF广发,1.194,1.96,0.023,474082.0,56753502.0,1.1921,-0.16,307391755,307391755,257447031.0,1.159,1.216,1.155,1.171,5.21,18.41,1.1,-233261.0,-0.41
159063,粮食ETF南方,1.038,1.96,0.02,141933.0,14851885.41,1.038,0.0,61228140,61228140,58986647.0,1.01,1.059,1.01,1.018,4.81,24.06,1.0,72100.0,0.49
