股票代码,股票名称,最新价格,涨跌幅(%),市盈率PE,市净率PB,总市值,板块类型,风险状态
600000,浦发银行,9.14,-0.33,6.048,0.403,304415362062,上交所主板,正常上市
600004,白云机场,7.55,-0.4,14.519,0.919,19458196715,上交所主板,正常上市
600006,东风股份,5.41,-0.55,-25.443,1.354,10820000000,上交所主板,正常上市
600007,中国国贸,18.44,-0.75,15.526,1.848,18574289927,上交所主板,正常上市
600008,首创环保,2.84,-0.7,11.607,0.988,20847277523,上交所主板,正常上市
600009,上海机场,23.53,-0.51,26.912,1.358,58550005831,上交所主板,正常上市
600009,上海机场,23.53,-0.51,26.912,1.358,58550005831,上交所主板,正常上市
600010,包钢股份,2.22,-0.89,-749.041,1.949,100401793145,上交所主板,正常上市
600011,华能国际,6.91,-0.58,7.792,1.548,108473825111,上交所主板,正常上市
600012,皖通高速,16.39,-0.67,15.043,2.098,28003821061,上交所主板,正常上市
600015,华夏银行,6.66,-0.45,3.908,0.33,105993423597,上交所主板,正常上市
600016,民生银行,3.47,-0.57,5.179,0.264,151924992202,上交所主板,正常上市
600017,日照港,2.67,-0.37,18.726,0.584,8211995881,上交所主板,正常上市
600018,上港集团,5.11,-0.2,8.688,0.817,118960598175,上交所主板,正常上市
600019,宝钢股份,5.68,-1.05,12.206,0.594,123722241374,上交所主板,正常上市
600020,中原高速,3.78,0.0,13.279,0.714,8495065525,上交所主板,正常上市
600021,上海电力,14.59,0.62,16.444,1.98,41171167995,上交所主板,正常上市
600022,山东钢铁,1.33,-1.48,-653.021,0.762,14229469907,上交所主板,正常上市
600023,浙能电力,4.94,-0.4,8.95,0.858,66239139780,上交所主板,正常上市
600025,华能水电,9.66,-0.31,21.033,2.531,179976370523,上交所主板,正常上市
600026,中远海能,16.8,0.36,16.696,1.903,91916398190,上交所主板,正常上市
600028,中国石化,4.98,-1.39,16.939,0.723,602209060826,上交所主板,正常上市
600029,南方航空,5.06,-0.2,29.722,2.474,91692107411,上交所主板,正常上市
600030,中信证券,27.88,0.65,12.927,1.417,435604709271,上交所主板,正常上市
600031,三一重工,18.73,-0.95,20.455,1.901,172222433105,上交所主板,正常上市
600032,浙江新能,7.46,-0.53,39.829,1.396,17938877917,上交所主板,正常上市
600033,福建高速,3.5,-0.57,10.029,0.763,9605400000,上交所主板,正常上市
600035,楚天高速,3.43,-0.58,10.992,0.607,5522697540,上交所主板,正常上市
600036,招商银行,38.65,-0.13,6.463,0.86,974747032479,上交所主板,正常上市
600037,歌华有线,7.12,-0.42,146.72,0.776,9909458534,上交所主板,正常上市
600038,中直股份,26.81,-0.15,45.067,1.248,21981337041,上交所主板,正常上市
600039,四川路桥,8.38,-0.48,10.395,1.379,72869049605,上交所主板,正常上市
600050,中国联通,4.3,0.0,15.528,0.788,134437028906,上交所主板,正常上市
600051,宁波联合,6.21,-0.8,25.504,0.565,1930564800,上交所主板,正常上市
600052,东望时代,3.95,-0.5,-6.935,1.544,3334569227,上交所主板,正常上市
600053,*ST九鼎,7.27,-1.76,-8.789,1.417,3151841616,上交所主板,*ST退市风险警示
600054,黄山旅游,11.26,-0.35,28.274,1.708,8212812494,上交所主板,正常上市
600055,万东医疗,11.54,-0.26,-29.096,1.827,8113324609,上交所主板,正常上市
600056,中国医药,9.66,1.58,29.926,1.202,14450198366,上交所主板,正常上市
600057,厦门象屿,6.25,-0.95,13.572,1.124,17743847119,上交所主板,正常上市
600059,古越龙山,8.28,3.11,33.498,1.278,7547571180,上交所主板,正常上市
600060,海信视像,26.03,-0.84,13.636,1.556,33968427772,上交所主板,正常上市
600061,国投资本,6.47,0.78,12.275,0.755,41369812591,上交所主板,正常上市
