代码,名称,异动类型,量化得分,形态定级
603033,三维股份,🟢 近期洗盘(纯绿),91.2,[S级] 完美平推极品横盘
600903,贵州燃气,📦 前期潜伏(高分横盘),90.8,[S级] 完美平推极品横盘
600246,万通发展,📦 前期潜伏(高分横盘),90.4,[S级] 完美平推极品横盘
603256,宏和科技,📦 前期潜伏(高分横盘),90.0,[S级] 完美平推极品横盘
600688,上海石化,📦 前期潜伏(高分横盘),87.6,[S级] 完美平推极品横盘
600367,红星发展,📦 前期潜伏(高分横盘),87.6,[S级] 完美平推极品横盘
601133,柏诚股份,📦 前期潜伏(高分横盘),87.2,[S级] 完美平推极品横盘
600378,昊华科技,📦 前期潜伏(高分横盘),85.6,[S级] 完美平推极品横盘
600707,彩虹股份,📦 前期潜伏(高分横盘),82.8,[A级] 标准震荡洗盘箱体
603160,汇顶科技,📦 前期潜伏(高分横盘),82.8,[A级] 标准震荡洗盘箱体
601512,中新集团,📦 前期潜伏(高分横盘),80.8,[A级] 标准震荡洗盘箱体
603092,德力佳,📦 前期潜伏(高分横盘),80.8,[A级] 标准震荡洗盘箱体
600584,长电科技,📦 前期潜伏(高分横盘),79.6,[A级] 标准震荡洗盘箱体
603050,科林电气,📦 前期潜伏(高分横盘),79.6,[A级] 标准震荡洗盘箱体
600522,中天科技,📦 前期潜伏(高分横盘),79.6,[A级] 标准震荡洗盘箱体
603283,赛腾股份,📦 前期潜伏(高分横盘),78.8,[A级] 标准震荡洗盘箱体
601377,兴业证券,🟢 近期洗盘(纯绿),78.4,[A级] 标准震荡洗盘箱体
600826,兰生股份,📦 前期潜伏(高分横盘),78.0,[A级] 标准震荡洗盘箱体
603090,宏盛股份,📦 前期潜伏(高分横盘),78.0,[A级] 标准震荡洗盘箱体
603308,应流股份,📦 前期潜伏(高分横盘),78.0,[A级] 标准震荡洗盘箱体
600641,先导基电,📦 前期潜伏(高分横盘),76.8,[A级] 标准震荡洗盘箱体
600869,远东股份,📦 前期潜伏(高分横盘),75.6,[A级] 标准震荡洗盘箱体
603262,技源集团,📦 前期潜伏(高分横盘),75.2,[A级] 标准震荡洗盘箱体
600498,烽火通信,📦 前期潜伏(高分横盘),74.8,[A级] 标准震荡洗盘箱体
600596,新安股份,📦 前期潜伏(高分横盘),73.6,[A级] 标准震荡洗盘箱体
600487,亨通光电,📦 前期潜伏(高分横盘),72.8,[A级] 标准震荡洗盘箱体
600830,香溢融通,📦 前期潜伏(高分横盘),72.8,[A级] 标准震荡洗盘箱体
601016,节能风电,📦 前期潜伏(高分横盘),72.4,[A级] 标准震荡洗盘箱体
600360,华微电子,📦 前期潜伏(高分横盘),72.0,[A级] 标准震荡洗盘箱体
600460,士兰微,📦 前期潜伏(高分横盘),72.0,[A级] 标准震荡洗盘箱体
600184,光电股份,📦 前期潜伏(高分横盘),70.4,[A级] 标准震荡洗盘箱体
600578,京能电力,📦 前期潜伏(高分横盘),70.4,[A级] 标准震荡洗盘箱体
600460,士兰微,📦 前期潜伏(高分横盘),70.4,[A级] 标准震荡洗盘箱体
600522,中天科技,📦 前期潜伏(高分横盘),70.0,[A级] 标准震荡洗盘箱体
600293,三峡新材,📦 前期潜伏(高分横盘),69.6,[A级] 标准震荡洗盘箱体
603316,诚邦股份,📦 前期潜伏(高分横盘),69.6,[A级] 标准震荡洗盘箱体
603290,斯达半导,📦 前期潜伏(高分横盘),68.8,[A级] 标准震荡洗盘箱体
603026,石大胜华,📦 前期潜伏(高分横盘),68.4,[A级] 标准震荡洗盘箱体
601330,绿色动力,📦 前期潜伏(高分横盘),68.4,[A级] 标准震荡洗盘箱体
600157,永泰能源,📦 前期潜伏(高分横盘),67.6,[A级] 标准震荡洗盘箱体
601688,华泰证券,📦 前期潜伏(高分横盘),67.6,[A级] 标准震荡洗盘箱体
603239,浙江仙通,📦 前期潜伏(高分横盘),67.6,[A级] 标准震荡洗盘箱体
601112,振石股份,📦 前期潜伏(高分横盘),67.2,[A级] 标准震荡洗盘箱体
600773,西藏城投,📦 前期潜伏(高分横盘),67.2,[A级] 标准震荡洗盘箱体
600184,光电股份,📦 前期潜伏(高分横盘),66.4,[A级] 标准震荡洗盘箱体
600961,株冶集团,📦 前期潜伏(高分横盘),66.0,[A级] 标准震荡洗盘箱体
600956,新天绿能,📦 前期潜伏(高分横盘),66.0,[A级] 标准震荡洗盘箱体
603179,新泉股份,📦 前期潜伏(高分横盘),65.2,[A级] 标准震荡洗盘箱体
600725,云维股份,📦 前期潜伏(高分横盘),64.8,[A级] 标准震荡洗盘箱体
600360,华微电子,📦 前期潜伏(高分横盘),64.8,[A级] 标准震荡洗盘箱体
601799,星宇股份,📦 前期潜伏(高分横盘),64.4,[A级] 标准震荡洗盘箱体
600345,长江通信,📦 前期潜伏(高分横盘),64.4,[A级] 标准震荡洗盘箱体
603324,盛剑科技,📦 前期潜伏(高分横盘),63.6,[A级] 标准震荡洗盘箱体
600072,中船科技,📦 前期潜伏(高分横盘),63.2,[A级] 标准震荡洗盘箱体
600345,长江通信,📦 前期潜伏(高分横盘),63.2,[A级] 标准震荡洗盘箱体
600699,均胜电子,📦 前期潜伏(高分横盘),62.8,[A级] 标准震荡洗盘箱体
600452,涪陵电力,📦 前期潜伏(高分横盘),62.8,[A级] 标准震荡洗盘箱体
600726,华电能源,📦 前期潜伏(高分横盘),62.4,[A级] 标准震荡洗盘箱体
600780,通宝能源,📦 前期潜伏(高分横盘),62.0,[A级] 标准震荡洗盘箱体
600714,金瑞矿业,📦 前期潜伏(高分横盘),62.0,[A级] 标准震荡洗盘箱体
600578,京能电力,📦 前期潜伏(高分横盘),62.0,[A级] 标准震荡洗盘箱体
603186,华正新材,📦 前期潜伏(高分横盘),61.6,[A级] 标准震荡洗盘箱体
603060,国检集团,📦 前期潜伏(高分横盘),60.8,[A级] 标准震荡洗盘箱体
600777,新潮能源,📦 前期潜伏(高分横盘),60.8,[A级] 标准震荡洗盘箱体
