代码,名称,共振级别,周K信号,月K信号
600004,白云机场,🚀 月K单启,False,True
600010,包钢股份,🚀 月K单启,False,True
600017,日照港,🚀 月K单启,False,True
600021,上海电力,🚀 月K单启,False,True
600028,中国石化,🚀 月K单启,False,True
600029,南方航空,🚀 月K单启,False,True
600032,浙江新能,🚀 月K单启,False,True
600033,福建高速,🚀 月K单启,False,True
600036,招商银行,🚀 月K单启,False,True
600038,中直股份,🚀 月K单启,False,True
600039,四川路桥,🚀 月K单启,False,True
600051,宁波联合,🚀 月K单启,False,True
600054,黄山旅游,🚀 月K单启,False,True
600055,万东医疗,🚀 月K单启,False,True
600059,古越龙山,🚀 月K单启,False,True
600061,国投资本,🚀 月K单启,False,True
600064,南京高科,🚀 月K单启,False,True
600067,冠城新材,🚀 月K单启,False,True
600072,中船科技,🚀 月K单启,False,True
600073,光明肉业,🚀 月K单启,False,True
600075,新疆天业,🚀 月K单启,False,True
600085,同仁堂,🚀 月K单启,False,True
600088,中视传媒,🚀 月K单启,False,True
600089,特变电工,🚀 月K单启,False,True
600097,开创国际,🚀 月K单启,False,True
600100,同方股份,🚀 月K单启,False,True
600103,青山纸业,🚀 月K单启,False,True
600104,上汽集团,🚀 月K单启,False,True
600106,重庆路桥,🚀 月K单启,False,True
600108,亚盛集团,🚀 月K单启,False,True
600110,诺德股份,📈 周K单启,True,False
600115,中国东航,🚀 月K单启,False,True
600117,西宁特钢,🚀 月K单启,False,True
600120,浙江东方,🚀 月K单启,False,True
600125,铁龙物流,🚀 月K单启,False,True
600126,杭钢股份,🚀 月K单启,False,True
600128,苏豪弘业,🚀 月K单启,False,True
600131,国网信通,🚀 月K单启,False,True
600133,东湖高新,🚀 月K单启,False,True
600135,乐凯胶片,🚀 月K单启,False,True
600141,兴发集团,📈 周K单启,True,False
600148,长春一东,🚀 月K单启,False,True
600173,卧龙新能,🚀 月K单启,False,True
600183,生益科技,📈 周K单启,True,False
600185,珠免集团,🚀 月K单启,False,True
600191,华资实业,🚀 月K单启,False,True
600192,长城电工,🚀 月K单启,False,True
600198,大唐电信,🔥 周月双启,True,True
600202,哈空调,🚀 月K单启,False,True
600207,安彩高科,📈 周K单启,True,False
600211,西藏药业,🚀 月K单启,False,True
600212,绿能慧充,🚀 月K单启,False,True
600218,全柴动力,🚀 月K单启,False,True
600223,福瑞达,🚀 月K单启,False,True
600230,沧州大化,🚀 月K单启,False,True
600231,凌钢股份,🚀 月K单启,False,True
600235,民丰特纸,🚀 月K单启,False,True
600249,两面针,🚀 月K单启,False,True
600250,南京商旅,🚀 月K单启,False,True
600252,中恒集团,🚀 月K单启,False,True
600257,大湖股份,🚀 月K单启,False,True
600259,中稀有色,📈 周K单启,True,False
600261,阳光照明,🚀 月K单启,False,True
600266,城建发展,🚀 月K单启,False,True
600262,北方股份,🚀 月K单启,False,True
600269,赣粤高速,🚀 月K单启,False,True
600271,航天信息,🚀 月K单启,False,True
600273,嘉化能源,🚀 月K单启,False,True
600278,东方创业,🚀 月K单启,False,True
600279,重庆港,🚀 月K单启,False,True
600284,浦东建设,🚀 月K单启,False,True
600287,苏豪时尚,🚀 月K单启,False,True
600288,大恒科技,🔥 周月双启,True,True
600308,华泰股份,🚀 月K单启,False,True
