时间,代码,名称,周K拉升信号,月K拉升信号
19:30:59,600000,浦发银行,False,False
19:31:01,600004,白云机场,False,True
19:31:04,600007,中国国贸,False,False
19:31:10,600009,上海机场,False,False
19:31:12,600010,包钢股份,False,True
19:31:13,600011,华能国际,False,False
19:31:15,600012,皖通高速,False,False
19:31:19,600015,华夏银行,False,False
19:31:21,600016,民生银行,False,False
19:31:22,600017,日照港,False,True
19:31:24,600018,上港集团,False,False
19:31:26,600019,宝钢股份,False,False
19:31:30,600020,中原高速,False,False
19:31:31,600021,上海电力,False,True
19:31:33,600022,山东钢铁,False,False
19:31:35,600023,浙能电力,False,False
19:31:37,600025,华能水电,False,False
19:31:41,600026,中远海能,False,False
19:31:42,600027,华电国际,False,False
19:31:44,600028,中国石化,False,True
19:31:45,600029,南方航空,False,True
19:31:48,600030,中信证券,False,False
19:31:51,600031,三一重工,False,False
19:31:53,600032,浙江新能,False,True
19:31:55,600033,福建高速,False,True
19:31:56,600035,楚天高速,False,False
19:31:58,600036,招商银行,False,True
19:32:02,600037,歌华有线,False,False
19:32:04,600038,中直股份,False,True
19:32:06,600039,四川路桥,False,True
19:32:07,600048,保利发展,False,False
19:32:09,600050,中国联通,False,False
19:32:13,600051,宁波联合,False,True
19:32:14,600052,东望时代,False,False
19:32:17,600054,黄山旅游,False,True
19:32:17,600055,万东医疗,False,True
19:32:20,600056,中国医药,False,False
19:32:23,600057,厦门象屿,False,False
19:32:25,600058,五矿发展,False,False
19:32:27,600059,古越龙山,False,True
19:32:28,600060,海信视像,False,False
19:32:30,600061,国投资本,False,True
19:32:35,600062,华润双鹤,False,False
19:32:36,600063,皖维高新,False,False
19:32:38,600064,南京高科,False,True
19:32:39,600066,宇通客车,False,False
19:32:41,600067,冠城新材,False,True
19:32:45,600071,凤凰光学,False,False
19:32:47,600072,中船科技,False,True
19:32:49,600073,光明肉业,False,True
19:32:50,600075,新疆天业,False,True
19:32:52,600076,康欣新材,False,False
19:32:56,600078,澄星股份,False,False
19:32:57,600081,东风科技,False,False
19:33:00,600085,同仁堂,False,True
19:33:01,600088,中视传媒,False,True
19:33:02,600089,特变电工,False,True
19:33:07,600094,大名城,False,False
19:33:08,600095,湘财股份,False,False
19:33:11,600097,开创国际,False,True
19:33:13,600098,广州发展,False,False
19:33:17,600099,林海股份,False,False
19:33:19,600100,同方股份,False,True
19:33:22,600103,青山纸业,False,True
19:33:24,600104,上汽集团,False,True
19:33:28,600105,永鼎股份,False,False
19:33:29,600106,重庆路桥,False,True
19:33:32,600109,国金证券,False,False
19:33:33,600108,亚盛集团,False,True
19:33:34,600110,诺德股份,True,False
19:33:39,600114,东睦股份,False,False
19:33:40,600115,中国东航,False,True
19:33:43,600116,三峡水利,False,False
19:33:43,600117,西宁特钢,False,True
19:33:45,600120,浙江东方,False,True
19:33:51,600123,兰花科创,False,False
19:33:52,600125,铁龙物流,False,True
19:33:54,600126,杭钢股份,False,True
19:33:54,600127,金健米业,False,False
19:33:56,600128,苏豪弘业,False,True
19:34:01,600129,太极集团,False,False
19:34:02,600130,波导股份,False,False
19:34:05,600131,国网信通,False,True
19:34:05,600133,东湖高新,False,True
19:34:06,600135,乐凯胶片,False,True
19:34:12,600137,浪莎股份,False,False
19:34:13,600138,中青旅,False,False
19:34:15,600141,兴发集团,True,False
19:34:16,600148,长春一东,False,True
19:34:17,600149,廊坊发展,False,False
19:34:25,600150,中国船舶,False,False
19:34:27,600151,航天机电,False,False
19:34:32,600152,维科技术,False,False
19:34:35,600153,建发股份,False,False
19:34:37,600155,华创云信,False,False
19:34:49,600158,中体产业,False,False
19:34:52,600159,大龙地产,False,False
19:34:57,600161,天坛生物,False,False
19:35:04,600163,中闽能源,False,False
19:35:10,600170,上海建工,False,False
19:35:18,600171,上海贝岭,False,False
19:35:22,600173,卧龙新能,False,True
19:35:23,600176,中国巨石,False,False
19:35:25,600177,雅戈尔,False,False
19:35:28,600178,东安动力,False,False
19:35:37,600183,生益科技,True,False
19:35:41,600184,光电股份,False,False
19:35:44,600185,珠免集团,False,True
19:35:44,600188,兖矿能源,False,False
19:35:54,600191,华资实业,False,True
19:35:59,600192,长城电工,False,True
19:36:02,600197,伊力特,False,False
19:36:09,600198,大唐电信,True,True
19:36:16,600202,哈空调,False,True
19:36:23,600207,安彩高科,True,False
19:36:30,600211,西藏药业,False,True
19:36:34,600212,绿能慧充,False,True
19:36:39,600216,浙江医药,False,False
19:36:45,600218,全柴动力,False,True
19:36:47,600223,福瑞达,False,True
19:36:51,600226,亨通股份,False,False
